Year,SOI
1979.5416666669,-8.2
1979.6250000002,-5
1979.7083333335,1.4
1979.7916666669,-2.5
1979.8750000002,-4.7
1979.9583333335,-7.5
1980.0416666669,3.2
1980.1250000002,1.1
1980.2083333335,-8.5
1980.2916666669,-12.9
1980.3750000002,-3.5
1980.4583333335,-4.7
1980.5416666669,-1.7
1980.6250000002,1.4
1980.7083333335,-5.2
1980.7916666669,-1.9
1980.8750000002,-3.4
1980.9583333335,-0.9
1981.0416666669,2.7
1981.1250000002,-3.2
1981.2083333335,-16.6
1981.2916666669,-5.5
1981.3750000002,7.6
1981.4583333335,11.5
1981.5416666669,9.4
1981.6250000002,5.9
1981.7083333335,7.5
1981.7916666669,-5
1981.8750000002,2.6
1981.9583333335,4.7
1982.0416666669,9.4
1982.1250000002,0.6
1982.2083333335,2.4
1982.2916666669,-3.8
1982.3750000002,-8.2
1982.4583333335,-20.1
1982.5416666669,-19.3
1982.6250000002,-23.6
1982.7083333335,-21.4
1982.7916666669,-20.2
1982.8750000002,-31.1
1982.9583333335,-21.3
1983.0416666669,-30.6
1983.1250000002,-33.3
1983.2083333335,-28
1983.2916666669,-17
1983.3750000002,6
1983.4583333335,-3.1
1983.5416666669,-7.6
1983.6250000002,0.1
1983.7083333335,9.9
1983.7916666669,4.2
1983.8750000002,-0.7
1983.9583333335,0.1
1984.0416666669,1.3
1984.1250000002,5.8
1984.2083333335,-5.8
1984.2916666669,2
1984.3750000002,-0.3
1984.4583333335,-8.7
1984.5416666669,2.2
1984.6250000002,2.7
1984.7083333335,2
1984.7916666669,-5
1984.8750000002,3.9
1984.9583333335,-1.4
1985.0416666669,-3.5
1985.1250000002,6.7
1985.2083333335,-2
1985.2916666669,14.4
1985.3750000002,2.8
1985.4583333335,-9.6
1985.5416666669,-2.3
1985.6250000002,8.5
1985.7083333335,0.2
1985.7916666669,-5.6
1985.8750000002,-1.4
1985.9583333335,2.1
1986.0416666669,8
1986.1250000002,-10.7
1986.2083333335,0.8
1986.2916666669,1.2
1986.3750000002,-6.6
1986.4583333335,10.7
1986.5416666669,2.2
1986.6250000002,-7.6
1986.7083333335,-5.2
1986.7916666669,6.1
1986.8750000002,-13.9
1986.9583333335,-13.6
1987.0416666669,-6.3
1987.1250000002,-12.6
