Year,SOI
1970.9583333335058,17.4
1971.0416666668395,2.7
1971.125000000173,15.7
1971.2083333335065,19.2
1971.29166666684,22.6
1971.3750000001733,9.2
1971.458333333507,2.6
1971.5416666668405,1.6
1971.625000000174,14.9
1971.7083333335074,15.9
1971.7916666668411,17.7
1971.8750000001746,7.2
1971.958333333508,2.1
1972.0416666668411,3.7
1972.1250000001749,8.2
1972.2083333335086,2.4
1972.2916666668414,-5.5
1972.3750000001755,-16.1
1972.4583333335086,-12.0
1972.5416666668427,-18.6
1972.625000000176,-8.9
1972.7083333335086,-14.8
1972.7916666668427,-11.1
1972.875000000176,-3.4
1972.9583333335095,-12.1
1973.0416666668432,-3.0
1973.1250000001767,-13.5
1973.2083333335104,0.8
1973.2916666668439,-2.1
1973.3750000001767,2.8
1973.4583333335104,12.3
1973.5416666668439,6.1
1973.6250000001776,12.3
1973.708333333511,13.5
1973.7916666668445,9.7
1973.8750000001778,31.6
1973.9583333335113,16.9
1974.041666666845,20.8
1974.1250000001785,16.2
1974.208333333512,20.3
1974.2916666668455,11.1
1974.3750000001792,10.7
1974.4583333335127,2.6
1974.541666666846,12.0
1974.6250000001794,6.6
1974.7083333335129,12.3
1974.7916666668466,8.5
1974.87500000018,-1.4
1974.958333333513,-0.9
1975.0416666668466,-4.9
1975.1250000001803,5.3
1975.2083333335136,11.6
1975.2916666668475,14.4
1975.3750000001808,6.0
1975.4583333335145,15.5
1975.5416666668482,21.1
1975.6250000001808,20.7
1975.7083333335147,22.5
1975.7916666668482,17.7
1975.8750000001817,13.8
1975.9583333335154,19.5
1976.0416666668486,11.8
1976.125000000182,12.9
1976.2083333335158,13.2
1976.291666666849,1.2
1976.3750000001826,2.1
1976.4583333335158,0.2
1976.5416666668493,-12.8
1976.625000000183,-12.1
1976.7083333335165,-13.0
1976.79166666685,3.0
1976.8750000001835,9.8
1976.9583333335172,-3.0
1977.0416666668507,-4.0
1977.125000000184,7.7
1977.2083333335172,-9.5
1977.291666666851,-9.6
1977.3750000001846,-11.4
1977.4583333335174,-17.7
1977.5416666668516,-14.7
1977.6250000001846,-12.1
1977.7083333335183,-9.4
1977.791666666852,-12.9
1977.8750000001853,-14.6
1977.9583333335186,-10.6
1978.0416666668525,-3.0
1978.1250000001855,-24.4
1978.2083333335192,-5.8
1978.2916666668527,-7.9
1978.3750000001864,16.3
1978.45833333352,5.8
1978.5416666668527,6.1
1978.6250000001867,1.4
1978.70833333352,0.8
1978.7916666668536,-6.2
1978.8750000001874,-2.0
1978.9583333335208,-0.9
1979.0416666668539,-4.0
1979.125000000188,6.7
