Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance
1997,6.6148725625,1.7384025883,4.1961,1.9915423027,3.188920759,-1.0232879109
1998,6.5911123806,1.1874079701,6.0066,2.0926768298,1.4328831326,-1.7536396118
1999,6.6748141652,1.1614055728,2.9181,1.94012775,3.3784653149,-0.400473327
2000,6.8652728054,1.3410948937,2.6199,1.9067543639,3.7289923919,-0.0492790566
2001,6.9226207173,1.2720478935,3.8766,1.80528981,2.3886606037,0.1241181971
2002,7.0740758547,1.4607478359,5.0268,2.1484370011,1.0442285732,0.3153581163
2003,7.4148367422,1.5195797441,4.8777,2.2199446879,2.2787733007,-0.4420015023
2004,7.7631980409,1.4788124299,3.3441,2.1515235765,3.4532177464,0.2931691478
2005,8.0243176318,1.3677681494,5.1972,2.2178022195,1.8148522813,0.1622312805
2006,8.2903047925,1.4175660862,3.7275,2.282445062,3.01755818,0.6803676366
2007,8.5377023814,1.2356778988,4.473,2.3167005515,2.8274207346,0.1562589942
2008,8.7320954889,1.2984873903,3.7914,2.2733577407,3.5035954099,0.4622297286
2009,8.6059679997,1.5042493429,3.4293,2.3359533263,2.7160461002,1.6289179162
2010,9.0478138387,1.3846450451,5.1759,2.3051098029,3.1326589735,-0.1812098925
2011,9.3535861492,1.3420547092,3.621,2.4274063427,4.1303289488,0.516905567
2012,9.4959305891,1.4680351014,5.0907,2.4789846914,2.5455872001,0.848693799
2013,9.541328396,1.5186219468,5.1333,2.5030312322,3.2806814023,0.1429377083
2014,9.6137657818,1.6591507672,4.3239,2.578692537,3.715410526,0.6549134861
2015,9.6175330071,1.7035260805,6.3261,2.6402461458,2.1955269493,0.1591859925
2016,9.6560272426,1.5374064907,6.0705,2.6709636018,2.7188237684,-0.2668536369
2017,9.7736074264,1.4690239295,4.5795,2.5415545836,3.5828319851,0.5387447873
2018,9.9816468942,1.5088491322,5.1546,2.6282498444,3.4688283631,0.2388178189
